City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Sector-12, Karnal, India",121,121,60,13.5,4.3,5.1,5.2,29.6953,77.0027,2024-05-04 18:00:00
"MD University, Rohtak, Rohtak, India",223,223,N/A,11.2,7.1,2.8,9.9,28.870083,76.6205,2020-01-13 04:00:00
"F-Block, Sirsa, India",113,113,89,26.6,3.9,1.9,11.2,29.5364,75.0158,2024-05-04 18:00:00
"Murthal, Sonipat, India",67,67,66,14.1,13.9,11.6,2.7,29.0272,77.0621,2024-05-04 18:00:00
"Mangala, Bilaspur, India",99,99,56,N/A,4.2,4.5,9.1,22.08815,82.13737,2024-05-04 18:00:00
"Unna-Königsborn, Germany",34,18,N/A,34.3,1.8,N/A,N/A,51.547479,7.693785,2024-05-04 13:00:00
"Rajbagh, Srinagar, India",58,58,41,5.6,4.6,4.8,4,34.066206,74.81982,2024-03-04 09:00:00
"Tata Stadium, Jorapokhar, India",30,N/A,N/A,8.9,5.9,22.9,29.8,23.707909,86.41467,2024-05-04 18:00:00
"Hombegowda Nagar, Bengaluru, India",23,72,50,23.2,4.4,0.9,5.5,12.938539,77.5901,2024-05-04 18:00:00
"Ramteerth Nagar, Belgaum, India",76,55,76,7.9,18,3.6,7.2,15.888653,74.541751,2024-05-04 18:00:00
"Kalyana Nagara, Chikkamagaluru, India",61,61,38,18.3,7,0.7,2,13.328028,75.797056,2024-05-04 18:00:00
"Devaraj Urs Badavane, Davanagere, India",73,78,73,N/A,N/A,N/A,N/A,14.4758,75.9052,2024-05-04 18:00:00
"B.Katihalli, Hassan, India",221,75,69,220.6,4.5,60.3,0.3,13.008556,76.125258,2024-05-04 18:00:00
"Lal Bahadur Shastri Nagar, Kalaburagi, India",82,82,51,35.2,4.3,9.4,8.2,17.321993,76.822628,2024-05-04 18:00:00
"Tamaka Ind. Area, Kolar, India",125,125,84,5,10.2,6.7,0.9,13.1276288,78.1570122,2024-05-04 18:00:00
"Stuart Hill, Madikeri, India",71,71,36,13.1,7,1.7,1.3,12.415911,75.73505,2024-05-04 18:00:00
"Kadri, Mangalore, India",864,760,864,12.6,2.1,5.5,6.7,12.88925,74.853,2024-05-04 18:00:00
"Haji Colony, Raichur, India",78,78,64,1.8,21.1,39.3,20,16.208139,77.348417,2024-05-04 18:00:00
"Vinoba Nagara, Shivamogga, India",70,70,46,16.1,4.3,4.1,4.8,13.94,75.555917,2024-05-04 18:00:00
"Ibrahimpur, Vijayapura, India",64,64,40,6.3,6.9,124.4,2.1,16.802639,75.722694,2024-05-04 18:00:00
"Thavakkara, Kannur, India",109,109,59,7.2,2.6,0.9,2.7,11.875,75.3732,2024-05-04 15:00:00
"Kera, Kochi, Kochi Prefecture, Japan (介良高知市)",38,38,10,33.6,1.9,1.5,N/A,33.5489621,133.5987948,2024-05-04 21:00:00
"Polayathode, Kollam, India",152,152,64,14.9,3,0.2,2.7,8.8787,76.6073,2024-05-04 18:00:00
"Plammoodu, Thiruvananthapuram, India",45,45,28,6.5,3.3,3.3,3.1,8.5149093,76.9435879,2024-05-04 18:00:00
"Corporation Ground, Thrissur, India",85,85,55,12,2.5,0.1,7.8,10.5324,76.2159,2024-05-04 18:00:00
"Rue  Lafaurie (coté Montant), Le Havre, France",7,21,7,N/A,2.3,N/A,N/A,49.50019176,0.110902804,2024-05-04 14:00:00
"T T Nagar, Bhopal, India",89,72,89,39.8,8.7,5.4,9.7,23.233584,77.400574,2024-05-04 18:00:00
"Shrivastav Colony, Damoh, India",50,50,36,N/A,2.4,N/A,4.4,23.81748678,79.446246,2024-01-22 16:00:00
"Bhopal Chauraha, Dewas, India",63,63,36,16.5,4.7,13.4,4,22.9682591,76.064118,2024-05-04 18:00:00
"Phool Bagh, Gwalior, India",154,154,70,N/A,1.6,11.3,15.1,26.210536,78.171,2024-05-04 18:00:00
"Marhatal, Jabalpur, India",87,87,78,39.9,27.5,3.9,16.4,23.168606,79.932247,2024-05-04 18:00:00
"Shasthri Nagar, Ratlam, India",90,82,90,N/A,4.9,12.4,N/A,23.331731,75.045981,2024-05-04 18:00:00
"Deen Dayal Nagar, Sagar, India",56,56,101,N/A,8.6,5,12.4,23.8640158,78.80289321,2024-05-04 18:00:00
"Bandhavgar Colony, Satna, India",54,25,54,7.4,1.4,1.9,8.2,24.58434363,80.8549414,2024-05-04 18:00:00
"Mahakaleshwar Temple, Ujjain, India",76,70,76,50.2,5.5,4.2,4.8,23.182719,75.768218,2024-05-04 14:00:00
"Gurdeo Nagar, Aurangabad, India",70,70,55,23.7,2.8,0.5,4.5,24.75746,84.366208,2024-05-04 17:00:00
"MIDC Khutala, Chandrapur, India",174,143,174,0.6,17.3,9.2,13,19.9775302,79.2337086,2024-04-25 22:00:00
"Malayer, Hamadan, Iran (ملایر همدان)",33,26,33,N/A,37,6,6,34.2875011,48.787992,2024-05-04 17:00:00
"Khadakpada, Kalyan, India",104,64,104,4.6,11.2,10.9,3.2,19.25292,73.142019,2024-05-04 18:00:00
"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",109,109,N/A,N/A,N/A,N/A,N/A,19.0728302,72.88260651,2024-04-29 15:00:00
