City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,timestamp
"B.Katihalli, Hassan, India",0.243529412,0.068027211,0.060283688,1,0.12979351,0.484312148,0,13.008556,76.125258,05-04-2024 18:00
"Lal Bahadur Shastri Nagar, Kalaburagi, India",0.08,0.07755102,0.039007092,0.157655611,0.123893805,0.074818986,0.205729167,17.321993,76.822628,05-04-2024 18:00
"Tamaka Ind. Area, Kolar, India",0.130588235,0.136054422,0.078014184,0.020445252,0.297935103,0.053097345,0.015625,13.1276288,78.1570122,05-04-2024 18:00
"Stuart Hill, Madikeri, India",0.067058824,0.062585034,0.021276596,0.057246706,0.203539823,0.012872084,0.026041667,12.415911,75.73505,05-04-2024 18:00
"Kadri, Mangalore, India",1,1,1,0.054975011,0.05899705,0.043443282,0.166666667,12.88925,74.853,05-04-2024 18:00
"Haji Colony, Raichur, India",0.075294118,0.072108844,0.054373522,0.005906406,0.619469027,0.31536605,0.513020833,16.208139,77.348417,05-04-2024 18:00
"Vinoba Nagara, Shivamogga, India",0.065882353,0.06122449,0.033096927,0.070876874,0.123893805,0.032180209,0.1171875,13.94,75.555917,05-04-2024 18:00
"Ibrahimpur, Vijayapura, India",0.058823529,0.053061224,0.026004728,0.026351658,0.200589971,1,0.046875,16.802639,75.722694,05-04-2024 18:00
"Thavakkara, Kannur, India",0.111764706,0.114285714,0.048463357,0.030440709,0.073746313,0.006436042,0.0625,11.875,75.3732,05-04-2024 15:00
"Polayathode, Kollam, India",0.162352941,0.172789116,0.054373522,0.065424807,0.085545723,0.000804505,0.0625,8.8787,76.6073,05-04-2024 18:00
"Plammoodu, Thiruvananthapuram, India",0.036470588,0.027210884,0.011820331,0.027260336,0.09439528,0.025744167,0.072916667,8.5149093,76.9435879,05-04-2024 18:00
"Corporation Ground, Thrissur, India",0.083529412,0.081632653,0.043735225,0.052248978,0.07079646,0,0.1953125,10.5324,76.2159,05-04-2024 18:00
"T T Nagar, Bhopal, India",0.088235294,0.063945578,0.08392435,0.178555202,0.253687316,0.042638777,0.244791667,23.233584,77.400574,05-04-2024 18:00
